Business Name,Contact Person,Phone Number,Location,Google Rating,Review Count,Profile Claimed?,Google Maps URL,Website URL,Source
32 Smiles,,+91 93434 33222,"No. 130, Kundalahalli Gate",4.2,358,Unknown,https://www.google.com/maps/place/32+Smiles/data=!4m7!3m6!1s0x3bae123914beff3d:0xb4afa10e4c05fcf7!8m2!3d12.9545027!4d77.7149287!16s%2Fg%2F1tl0vsdw!19sChIJPf--FDkSrjsR9_wFTA6hr7Q?authuser=0&hl=en&rclk=1,https://www.practo.com/bangalore/doctor/dr-mallayya-pujari-dentist,Google Maps
Beyond Smiles Dental Clinic,,+91 76248 65553,"285, 6th Cross Rd, near Indiranagar",4.8,721,Unknown,https://www.google.com/maps/place/Beyond+Smiles+Dental+Clinic/data=!4m7!3m6!1s0x3bae16bad1c69269:0x68b5fa3606448a2!8m2!3d12.9792578!4d77.6403454!16s%2Fg%2F11c3kjvsql!19sChIJaZLG0boWrjsRokhkYKNfiwY?authuser=0&hl=en&rclk=1,https://beyondsmiles.co.in/,Google Maps
Sapna Dental Care,,+91 70193 65553,"2nd Floor, 10, L.M. Towers, Dr Rajkumar Rd",4.9,248,Unknown,https://www.google.com/maps/place/Sapna+Dental+Care/data=!4m7!3m6!1s0x3bae3d9e02c06bbd:0xfc0eaf3b48f0e8b0!8m2!3d12.9850091!4d77.5602399!16s%2Fg%2F11s6q19cvx!19sChIJvWvAAp49rjsRsOjwSDuvDvw?authuser=0&hl=en&rclk=1,https://sapnadentalcare.com/,Google Maps
Revive Dental Clinic Rajajinagar Bengaluru,,+91 76248 71212,"147y , 50th cross, 17th Main Rd",4.9,431,Unknown,https://www.google.com/maps/place/Revive+Dental+Clinic+Rajajinagar+Bengaluru/data=!4m7!3m6!1s0x3be7c38ae3340df5:0xfe1bf5efe0246c8d!8m2!3d12.987493!4d77.5523846!16s%2Fg%2F11n11lvymn!19sChIJ9Q0044rD5zsRjWwk4O_1G_4?authuser=0&hl=en&rclk=1,https://revivedento.in/,Google Maps
Isha Dental Clinic - Best Dentist & Dental Clinic in Bangalore,,+91 90356 29583,"Swarna building, No 60 EWS, 3rd cross , nrupatunga extension, RT Nagar",5.0,362,Unknown,https://www.google.com/maps/place/Isha+Dental+Clinic+-+Best+Dentist+%26+Dental+Clinic+in+Bangalore/data=!4m7!3m6!1s0x3bae17a6e94439bd:0x8ea4d3806354ab4f!8m2!3d13.0205092!4d77.5920949!16s%2Fg%2F11gdjpq4dd!19sChIJvTlE6aYXrjsRT6tUY4DTpI4?authuser=0&hl=en&rclk=1,http://www.ishadentalclinic.com/,Google Maps
"Smitha Dental, Implants & Aesthetics | Best Dentist in Jayanagar Bangalore",,+91 77889 98124,"South, E End Main Rd",4.9,780,Unknown,"https://www.google.com/maps/place/Smitha+Dental,+Implants+%26+Aesthetics+%7C+Best+Dentist+in+Jayanagar+Bangalore/data=!4m7!3m6!1s0x3bae154b6b9d0819:0xd4c4fbe556d78565!8m2!3d12.9166319!4d77.5958615!16s%2Fg%2F11jywzl19_!19sChIJGQida0sVrjsRZYXXVuX7xNQ?authuser=0&hl=en&rclk=1",https://smithadentalaesthetics.com/,Google Maps
Ridgetop Dental International | Best dentist in MG Road,,+91 78468 89900,"2nd Floor, Lake, 16/1, Haudin Rd, near Halasuru",4.9,287,Unknown,https://www.google.com/maps/place/Ridgetop+Dental+International+%7C+Best+dentist+in+MG+Road/data=!4m7!3m6!1s0x3bae169cc0d4d8b3:0x4452ca1e705941f1!8m2!3d12.9764607!4d77.6188174!16s%2Fg%2F1ptz0r9qr!19sChIJs9jUwJwWrjsR8UFZcB7KUkQ?authuser=0&hl=en&rclk=1,https://www.ridgetopdental.in/mg-road/,Google Maps
DENTAL 360,,+91 80089 98997,"Rama plaza, 392, 13th Cross Rd",5.0,92,Unknown,https://www.google.com/maps/place/DENTAL+360/data=!4m7!3m6!1s0x3bae17e3471ca25b:0x58fe20b642ba6566!8m2!3d12.9779496!4d77.6359539!16s%2Fg%2F11t2vl1_5w!19sChIJW6IcR-MXrjsRZmW6QrYg_lg?authuser=0&hl=en&rclk=1,https://www.dental360bangalore.com/,Google Maps
Hayes Dental Clinic,,+91 99801 54197,"11/1, Hayes Rd",4.9,183,Unknown,https://www.google.com/maps/place/Hayes+Dental+Clinic/data=!4m7!3m6!1s0x3bae1542f73c43a3:0x12bacafce50ec0fb!8m2!3d12.9662711!4d77.60165!16s%2Fg%2F11h75pp995!19sChIJo0M890IVrjsR-8AO5fzKuhI?authuser=0&hl=en&rclk=1,https://hayesdentalbangalore.com/,Google Maps
Smiles.ai Kormangala,,+91 84350 00632,"#358, 1st floor, 1st Main Rd",4.5,17,No,https://www.google.com/maps/place/Smiles.ai+Kormangala/data=!4m7!3m6!1s0x3bae157e67f8310f:0x47be4cdcd21a1f44!8m2!3d12.9363751!4d77.6148875!16s%2Fg%2F11ppspvr4s!19sChIJDzH4Z34VrjsRRB8a0txMvkc?authuser=0&hl=en&rclk=1,http://www.smiles.ai/,Google Maps
Narayana Specialists Dental and Implant Center,,+91 81510 10203,"Landmark : Front of Vasant Gas Agency, 869, 5th Cross Rd",4.8,244,Unknown,https://www.google.com/maps/place/Narayana+Specialists+Dental+and+Implant+Center/data=!4m7!3m6!1s0x3bae1749c55dc347:0xf3698bb45eff1a36!8m2!3d12.9803162!4d77.6411993!16s%2Fg%2F11p5jzf7mt!19sChIJR8NdxUkXrjsRNhr_XrSLafM?authuser=0&hl=en&rclk=1,https://www.narayanadental.com/,Google Maps
Dental Alliance,,+91 90368 04379,"No 61, SECOND FLOOR, 1st Main Rd, above CORNER HOUSE",4.9,127,Unknown,https://www.google.com/maps/place/Dental+Alliance/data=!4m7!3m6!1s0x3bae144e42e97c2f:0x305d6c18ddfa32d5!8m2!3d12.936242!4d77.615169!16s%2Fg%2F1pxqct9_z!19sChIJL3zpQk4UrjsR1TL63RhsXTA?authuser=0&hl=en&rclk=1,https://www.practo.com/bangalore/clinic/dental-alliance-koramangala-koramangala-7-block/amp,Google Maps
VK Dental Care | Best Dental Clinic in Bangalore,,+91 97400 58477,"No.43/2, First Floor, Middle School Rd",5.0,154,Unknown,https://www.google.com/maps/place/VK+Dental+Care+%7C+Best+Dental+Clinic+in+Bangalore/data=!4m7!3m6!1s0x3bae15e92c883a6d:0xb836a8e22063608b!8m2!3d12.9506069!4d77.5792036!16s%2Fg%2F11v5_1jlzs!19sChIJbTqILOkVrjsRi2BjIOKoNrg?authuser=0&hl=en&rclk=1,https://vkdentalcare.co.in/,Google Maps
DentEssencePRO – Advanced Dental Implants Bangalore | Full Mouth & Digital Smile | Dr. Makam Gangaiah,,+91 97425 03814,"Balaji complex, #1, Kodigehalli Main Rd, opp Tatanagar entrance, 9th Cross Rd, opp. Glen gate House of Hiranandani",4.9,379,Unknown,https://www.google.com/maps/place/DentEssencePRO+%E2%80%93+Advanced+Dental+Implants+Bangalore+%7C+Full+Mouth+%26+Digital+Smile+%7C+Dr.+Makam+Gangaiah/data=!4m7!3m6!1s0x3bae17f12fffffff:0x185c81d06e6fe5f5!8m2!3d13.0529663!4d77.5752043!16s%2Fg%2F11trr1zbhl!19sChIJ____L_EXrjsR9eVvbtCBXBg?authuser=0&hl=en&rclk=1,http://www.dentessencepro.com/,Google Maps
"EVA Esthetic & Implant Dental Centre-Nagawara,Bangalore,India | Implantologist/Full mouth implant specialist |",,+91 95389 84780,"Image diagnostics,#1073,2nd floor, Nagawara signal",4.9,972,Unknown,"https://www.google.com/maps/place/EVA+Esthetic+%26+Implant+Dental+Centre-Nagawara,Bangalore,India+%7C+Implantologist%2FFull+mouth+implant+specialist+%7C/data=!4m7!3m6!1s0x3bae17fb1c0e5cb5:0x975eb16e8740d372!8m2!3d13.0399409!4d77.6248438!16s%2Fg%2F11kp3bn7kp!19sChIJtVwOHPsXrjsRctNAh26xXpc?authuser=0&hl=en&rclk=1",http://www.evaestheticandimplantdental.com/,Google Maps
